City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
488,Grenfell,AU,76.84,clear sky,-33.9,148.1667,Grenfell Royal Hotel
491,Salina Cruz,MX,82.15,scattered clouds,16.1667,-95.2,Amerik HOTEL
495,Rabaul,PG,84.24,light rain,-4.1967,152.1721,Rabaul Hotel
496,Birao,CF,79.21,overcast clouds,10.2849,22.7882,
511,General Bravo,MX,77.77,overcast clouds,25.8,-99.1667,Hotel Don Joaquin
520,Zinder,NE,78.94,overcast clouds,13.8072,8.9881,Hotel de Ville
521,Lorengau,PG,84.07,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
524,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
525,Guatire,VE,77.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
526,Sydney,AU,78.58,scattered clouds,-33.8679,151.2073,The Grace Sydney
534,Muli,MV,83.82,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
535,Samarai,PG,84.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
548,Bushehr,IR,80.69,dust,28.9684,50.8385,Yas Hotel
549,Warrnambool,AU,79.81,scattered clouds,-38.3833,142.4833,Lady Bay Resort
551,Isla Mujeres,MX,78.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
553,Ormara,PK,80.37,clear sky,25.2088,64.6357,Kenara Colony house for Rent
573,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
577,Goure,NE,80.02,broken clouds,13.9835,10.2704,
583,Mananjary,MG,76.26,light rain,-21.2167,48.3333,Vahiny Lodge
584,Innisfail,AU,78.67,overcast clouds,-17.5333,146.0333,Moondarra Motel
587,Ampanihy,MG,75.83,broken clouds,-24.7,44.75,Angora Hotel
588,Bilma,NE,81.48,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
599,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
602,Petrolina,BR,77.05,light rain,-9.3986,-40.5008,JB Hotel
