City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Palmer,42.1584,-72.3287,63.01,33,40,11.5,US,2022-04-13 00:38:46
275,Concepcion Del Oro,24.6333,-101.4167,72.28,14,72,13.09,MX,2022-04-13 00:38:46
276,Mackay,-21.15,149.2,82.38,65,67,17.27,AU,2022-04-13 00:38:46
277,Utiel,39.5667,-1.2,48.13,89,94,1.34,ES,2022-04-13 00:38:47
278,La Ronge,55.1001,-105.2842,23.22,45,75,11.5,CA,2022-04-13 00:38:48
279,Bonnyville,54.2668,-110.735,24.12,76,100,13.0,CA,2022-04-13 00:39:48
280,Ziarat,30.3823,67.7282,52.57,12,0,7.09,PK,2022-04-13 00:39:49
281,Kiunga,-6.1219,141.2906,89.62,55,36,1.07,PG,2022-04-13 00:39:49
282,Papetoai,-17.4961,-149.8729,83.79,69,0,14.25,PF,2022-04-13 00:39:50
283,Carnarvon,-24.8667,113.6333,68.07,60,0,16.11,AU,2022-04-13 00:39:50
284,Iqaluit,63.7506,-68.5145,15.53,86,100,18.41,CA,2022-04-13 00:39:50
285,Savannah Bight,16.45,-85.85,81.25,81,46,22.97,HN,2022-04-13 00:39:51
286,Raha,26.2333,92.5167,76.3,79,62,3.33,IN,2022-04-13 00:39:51
287,Great Falls,47.5002,-111.3008,18.66,83,100,12.66,US,2022-04-13 00:39:30
288,Auki,-8.7676,160.7034,86.83,55,21,1.36,SB,2022-04-13 00:39:52
289,Monrovia,6.3005,-10.7969,78.3,90,100,7.2,LR,2022-04-13 00:37:10
290,Tecoanapa,16.5167,-98.75,81.7,73,100,10.65,MX,2022-04-13 00:39:53
291,Sinnamary,5.3833,-52.95,77.86,86,66,11.16,GF,2022-04-13 00:39:53
292,Adrar,20.5022,-10.0711,78.12,14,96,13.22,MR,2022-04-13 00:39:54
